place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,10,SOLAR BOY(L213),T H So,L Ho,124,1082,5,-,"1                                                            

1                                                            

1                                                            

1",1:22.90,6.6,1(45),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 550,000",Sha Tin,2013/10/01
2,9,STEP HIGH(N047),T Angland,T P Yung,128,1046,8,1/2,"6                                                            

8                                                            

8                                                            

2",1:23.00,5.8,1(45),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 550,000",Sha Tin,2013/10/01
3,4,MAGICAL BEAM(N208),O Doleuze,A Schutz,132,1065,9,1,"11                                                            

11                                                            

9                                                            

3",1:23.09,4.3,1(45),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 550,000",Sha Tin,2013/10/01
4,6,GAIN MORE(M395),C Y Lui,P F Yiu,124,1084,12,1-1/2,"2                                                            

4                                                            

3                                                            

4",1:23.14,21,1(45),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 550,000",Sha Tin,2013/10/01
5,14,TREASURE MAN(N347),C Y Ho,K L Man,113,1151,14,1-3/4,"3                                                            

2                                                            

2                                                            

5",1:23.16,99,1(45),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 550,000",Sha Tin,2013/10/01
6,8,SUPER TEAM(M036),Z Purton,A T Millard,131,1139,11,2-1/4,"12                                                            

12                                                            

10                                                            

6",1:23.27,8.7,1(45),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 550,000",Sha Tin,2013/10/01
7,13,BRILLIANT LIGHT(M388),M Chadwick,D Cruz,113,1047,2,3-1/4,"5                                                            

5                                                            

5                                                            

7",1:23.41,9,1(45),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 550,000",Sha Tin,2013/10/01
8,12,TELECOM CHIEF(P025),K Teetan,D E Ferraris,121,1039,3,3-1/2,"7                                                            

7                                                            

7                                                            

8",1:23.45,40,1(45),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 550,000",Sha Tin,2013/10/01
9,7,JUST GOOD(L133),C O'Donoghue,Y S Tsui,131,1114,10,3-3/4,"14                                                            

14                                                            

14                                                            

9",1:23.49,19,1(45),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 550,000",Sha Tin,2013/10/01
10,11,TRIUMPHANT WAY(N060),W M Lai,T K Ng,126,1048,7,4-1/2,"10                                                            

10                                                            

12                                                            

10",1:23.62,12,1(45),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 550,000",Sha Tin,2013/10/01
11,5,ALL LUCKY(P010),M L Yeung,A S Cruz,129,1103,1,5-1/2,"4                                                            

3                                                            

4                                                            

11",1:23.78,30,1(45),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 550,000",Sha Tin,2013/10/01
